instance,orig,preprocessed
/home/v7q8/scratch/2017_SAT_Competition/mp1-Nb7T42.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Heule/CNP-5-400.cnf,194.045,2310.6
/home/v7q8/scratch/2017_SAT_Competition/mp1-Nb5T16.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Heule/CNP-5-1100.cnf,1726.05,184.92
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/002-80-8.cnf,979.366,490.288
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/q_query_3_L100_coli.sat.cnf,551.613,340.876
/home/v7q8/scratch/2017_SAT_Competition/g2-hwmcc15deep-6s340rb63-k16.cnf,416.47,317.5
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.025-NOTKNOWN.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Harder/ecarev-110-4099-22-30-4.cnf,289.832,267.677
/home/v7q8/scratch/2017_SAT_Competition/g2-hwmcc15deep-6s33-k34.cnf,1977.68,1855.32
/home/v7q8/scratch/2018_SAT_Competition/Chowdhury/gto_p60c234.cnf,148.077,0.006523
/home/v7q8/scratch/2018_SAT_Competition/Devriendt/school1_nsh.col.14.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/g2-ak128diagobg2asaig.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/SAT_dat.k80-24_1_rule_1.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-Nb5T14.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-klieber2017s-1200-024-eq.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/g2-hwmcc15deep-beemhanoi4b1-k32.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/g2-hwmcc15deep-intel065-k11.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/g2-hwmcc15deep-bob12s02-k17.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Harder/ecarev-110-4099-22-30-7.cnf,286.134,248.812
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/aes_24_4_keyfind_5.cnf,5000.0,1668.45
/home/v7q8/scratch/2017_SAT_Competition/mp1-ps_5000_21250_3_0_0.8_0_1.55_6.cnf,5000.0,5000.0
